nanoseconds,logic,logic,logic,logic,logic,logic,logic,logic
0,0,1,1,1,1,1,1,1
125,0,1,1,1,1,1,1,1
250,0,1,1,1,1,1,1,1
375,0,1,1,1,1,1,1,1
500,0,1,1,1,1,1,1,1
625,0,1,1,1,1,1,1,1
750,0,1,1,1,1,1,1,1
875,0,1,1,1,1,1,1,1
1000,0,1,1,1,1,1,1,1
1125,0,1,1,1,1,1,1,1
1250,0,1,1,1,1,1,1,1
1375,0,1,1,1,1,1,1,1
1500,0,1,1,1,1,1,1,1
1625,0,1,1,1,1,1,1,1
1750,0,1,1,1,1,1,1,1
1875,0,1,1,1,1,1,1,1
2000,0,1,1,1,1,1,1,1
2125,0,1,1,1,1,1,1,1
2250,0,1,1,1,1,1,1,1
2375,0,1,1,1,1,1,1,1
2500,0,1,1,1,1,1,1,1
2625,0,1,1,1,1,1,1,1
2750,0,1,1,1,1,1,1,1
2875,0,1,1,1,1,1,1,1
3000,0,1,1,1,1,1,1,1
3125,0,1,1,1,1,1,1,1
3250,0,1,1,1,1,1,1,1
3375,0,1,1,1,1,1,1,1
3500,0,1,1,1,1,1,1,1
3625,0,1,1,1,1,1,1,1
3750,0,1,1,1,1,1,1,1
3875,0,1,1,1,1,1,1,1
4000,0,1,1,1,1,1,1,1
4125,0,1,1,1,1,1,1,1
4250,0,1,1,1,1,1,1,1
4375,0,1,1,1,1,1,1,1
4500,0,1,1,1,1,1,1,1
4625,0,1,1,1,1,1,1,1
4750,0,1,1,1,1,1,1,1
4875,0,1,1,1,1,1,1,1
5000,0,1,1,1,1,1,1,1
5125,0,1,1,1,1,1,1,1
5250,0,1,1,1,1,1,1,1
5375,0,1,1,1,1,1,1,1
5500,0,1,1,1,1,1,1,1
5625,0,1,1,1,1,1,1,1
5750,0,1,1,1,1,1,1,1
5875,0,1,1,1,1,1,1,1
6000,0,1,1,1,1,1,1,1
6125,0,1,1,1,1,1,1,1
6250,0,1,1,1,1,1,1,1
6375,0,1,1,1,1,1,1,1
6500,0,1,1,1,1,1,1,1
6625,0,1,1,1,1,1,1,1
6750,0,1,1,1,1,1,1,1
6875,0,1,1,1,1,1,1,1
7000,0,1,1,1,1,1,1,1
7125,0,1,1,1,1,1,1,1
7250,0,1,1,1,1,1,1,1
7375,0,1,1,1,1,1,1,1
7500,0,1,1,1,1,1,1,1
7625,0,1,1,1,1,1,1,1
7750,0,1,1,1,1,1,1,1
7875,0,1,1,1,1,1,1,1
8000,0,1,1,1,1,1,1,1
8125,0,1,1,1,1,1,1,1
8250,0,1,1,1,1,1,1,1
8375,0,1,1,1,1,1,1,1
8500,0,1,1,1,1,1,1,1
8625,0,1,1,1,1,1,1,1
8750,0,1,1,1,1,1,1,1
8875,0,1,1,1,1,1,1,1
9000,0,1,1,1,1,1,1,1
9125,0,1,1,1,1,1,1,1
